question_id,question,strategy,answer,citations,n_chunks
1,What is agroecology and what are its core principles?,clear_delimiters,I cannot find this in the provided papers.,"Amoak, D., Luginaah, I., & McBean, G. (2022). *Climate Change, Food Security, and Health: Harnessing Agroecology to Build Climate-Resilient Communities*. | Gascuel-Odoux, C. (et al.) (2022). *A research agenda for scaling up agroecology in European countries*. | Terán-Samaniego, K. (et al.) (2025). *Agroecology and Sustainable Agriculture: Conceptual Challenges and Opportunities—A Systematic Literature Review*.",5
1,What is agroecology and what are its core principles?,json_output,"```json {   ""answer"": ""Agroecology is an interdisciplinary approach that integrates agronomy and ecology, aiming to create sustainable and resilient agricultural systems. It is defined as a scientific discipline, a set of agricultural practices, and a social movement. Core principles include the integration of ecological processes in agriculture, the promotion of biodiversity, the empowerment of marginalized groups such as women, and the enhancement of farmers' independence and participation in ","Amoak, D., Luginaah, I., & McBean, G. (2022). *Climate Change, Food Security, and Health: Harnessing Agroecology to Build Climate-Resilient Communities*. | Gascuel-Odoux, C. (et al.) (2022). *A research agenda for scaling up agroecology in European countries*. | Terán-Samaniego, K. (et al.) (2025). *Agroecology and Sustainable Agriculture: Conceptual Challenges and Opportunities—A Systematic Literature Review*.",5
1,What is agroecology and what are its core principles?,few_shot,"Agroecology is an interdisciplinary, intradisciplinary, transdisciplinary, and systemic approach that integrates agronomy with ecology to transition agricultural activities towards sustainable agriculture. It is rooted in multiple disciplines, including agronomy, ecology, soil science, and plant physiology, allowing agroecologists to apply knowledge from these fields to reduce climate change risks and impacts on agriculture (Amoak et al., 2022; Terán-Samaniego et al., 2025).  The core principles","Amoak, D., Luginaah, I., & McBean, G. (2022). *Climate Change, Food Security, and Health: Harnessing Agroecology to Build Climate-Resilient Communities*. | Gascuel-Odoux, C. (et al.) (2022). *A research agenda for scaling up agroecology in European countries*. | Terán-Samaniego, K. (et al.) (2025). *Agroecology and Sustainable Agriculture: Conceptual Challenges and Opportunities—A Systematic Literature Review*.",5
1,What is agroecology and what are its core principles?,chain_of_thought,"FINAL ANSWER: Agroecology is a multifaceted approach to agriculture that integrates ecological principles with agricultural practices to create sustainable and resilient food systems. It is characterized by its interdisciplinary nature, drawing from fields such as agronomy, ecology, soil science, and plant physiology, to address the challenges of agricultural production in the context of climate change and biodiversity conservation (Amoak et al., 2022). Agroecology is not only a scientific disci","Amoak, D., Luginaah, I., & McBean, G. (2022). *Climate Change, Food Security, and Health: Harnessing Agroecology to Build Climate-Resilient Communities*. | Gascuel-Odoux, C. (et al.) (2022). *A research agenda for scaling up agroecology in European countries*. | Terán-Samaniego, K. (et al.) (2025). *Agroecology and Sustainable Agriculture: Conceptual Challenges and Opportunities—A Systematic Literature Review*.",5
2,How does agroecology contribute to food sovereignty?,clear_delimiters,"Agroecology contributes to food sovereignty by emphasizing the right of communities to access nutritious and culturally appropriate food produced through environmentally sustainable practices. It serves as a framework for food sovereignty by supporting the communities' right to self-determination, allowing them to decide autonomously how to ensure adequate food access. This is achieved by integrating local knowledge, culture, and food production practices, which are crucial for meeting the nutri","Amoak, D., Luginaah, I., & McBean, G. (2022). *Climate Change, Food Security, and Health: Harnessing Agroecology to Build Climate-Resilient Communities*. | Fiore, V. (et al.) (2024). *The socio‑economic issues of agroecology: a scoping review*. | Terán-Samaniego, K. (et al.) (2025). *Agroecology and Sustainable Agriculture: Conceptual Challenges and Opportunities—A Systematic Literature Review*.",5
2,How does agroecology contribute to food sovereignty?,json_output,"```json {   ""answer"": ""Agroecology contributes to food sovereignty by empowering local communities to have control over their food systems. It emphasizes the right to access nutritious and culturally appropriate food produced through sustainable practices. Agroecology supports self-determination, allowing communities to decide how to ensure adequate food access. It also promotes the integration of local knowledge and culture in food production, fostering sustainable agri-food systems. As a socia","Amoak, D., Luginaah, I., & McBean, G. (2022). *Climate Change, Food Security, and Health: Harnessing Agroecology to Build Climate-Resilient Communities*. | Fiore, V. (et al.) (2024). *The socio‑economic issues of agroecology: a scoping review*. | Terán-Samaniego, K. (et al.) (2025). *Agroecology and Sustainable Agriculture: Conceptual Challenges and Opportunities—A Systematic Literature Review*.",5
2,How does agroecology contribute to food sovereignty?,few_shot,"Agroecology contributes to food sovereignty by empowering communities to exercise their right to access nutritious and culturally appropriate food produced through environmentally sustainable practices. It serves as a framework for food sovereignty by supporting local knowledge, culture, and food production systems, which are crucial for meeting the nutritional needs of local communities (Terán-Samaniego et al., 2025; Fiore et al., 2024). Agroecology also aligns with social movements that emphas","Amoak, D., Luginaah, I., & McBean, G. (2022). *Climate Change, Food Security, and Health: Harnessing Agroecology to Build Climate-Resilient Communities*. | Fiore, V. (et al.) (2024). *The socio‑economic issues of agroecology: a scoping review*. | Terán-Samaniego, K. (et al.) (2025). *Agroecology and Sustainable Agriculture: Conceptual Challenges and Opportunities—A Systematic Literature Review*.",5
2,How does agroecology contribute to food sovereignty?,chain_of_thought,"FINAL ANSWER: Agroecology significantly contributes to food sovereignty by providing a framework that emphasizes the rights of communities to access nutritious and culturally appropriate food produced through environmentally sustainable practices. This approach aligns with the broader goals of food sovereignty, which include self-determination and the autonomy of communities to decide how to ensure adequate food access (Terán-Samaniego et al., 2025; Fiore et al., 2024). Agroecology supports thes","Amoak, D., Luginaah, I., & McBean, G. (2022). *Climate Change, Food Security, and Health: Harnessing Agroecology to Build Climate-Resilient Communities*. | Fiore, V. (et al.) (2024). *The socio‑economic issues of agroecology: a scoping review*. | Terán-Samaniego, K. (et al.) (2025). *Agroecology and Sustainable Agriculture: Conceptual Challenges and Opportunities—A Systematic Literature Review*.",5
3,What is the relationship between agroecology and biodiversity?,clear_delimiters,"Agroecology is closely linked to biodiversity as it emphasizes the preservation and utilization of biodiversity within agroecosystems. It promotes increasing farm biodiversity, which benefits farmers through enhanced ecosystem services such as pollination, pest control, nutrient cycling, soil fertility, and water regulation. Agroecological practices, such as agroforestry and crop diversity, maintain habitats and connectivity for biodiversity, supporting ecosystem functions under climate stress. ","Amoak, D., Luginaah, I., & McBean, G. (2022). *Climate Change, Food Security, and Health: Harnessing Agroecology to Build Climate-Resilient Communities*. | Gascuel-Odoux, C. (et al.) (2022). *A research agenda for scaling up agroecology in European countries*. | Terán-Samaniego, K. (et al.) (2025). *Agroecology and Sustainable Agriculture: Conceptual Challenges and Opportunities—A Systematic Literature Review*.",5
3,What is the relationship between agroecology and biodiversity?,json_output,"```json {   ""answer"": ""Agroecology promotes biodiversity by integrating diverse agricultural practices such as agroforestry, crop diversity, and mixed farming. These practices enhance ecosystem functions, improve resilience to environmental changes, and support sustainable food production. Agroecology relies on biodiversity to provide ecosystem services like pollination, pest control, and nutrient cycling, which are crucial for maintaining productive and resilient agricultural systems."",   ""conf","Amoak, D., Luginaah, I., & McBean, G. (2022). *Climate Change, Food Security, and Health: Harnessing Agroecology to Build Climate-Resilient Communities*. | Gascuel-Odoux, C. (et al.) (2022). *A research agenda for scaling up agroecology in European countries*. | Terán-Samaniego, K. (et al.) (2025). *Agroecology and Sustainable Agriculture: Conceptual Challenges and Opportunities—A Systematic Literature Review*.",5
